linux,chrome,streaming_twitch,7847,72,1321,89.9051867,136.3789013,28,64,72,7370,84,137,1321,89,0,0,7428,94.66,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,6895,72,1321,87.39202321,125.348124,25,64,72,6395,84,144,100,106,1,0.01,6494,94.18,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7345,72,1321,85.79591559,119.0378749,32,64,72,6911,84,196,1321,64,1,0.01,6945,94.55,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,7234,72,1321,87.03220901,128.1328092,20,64,72,7006,1321,74,84,33,0,0,7031,97.19,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7131,72,1321,86.23306689,120.9451343,18,64,72,6665,84,115,92,107,0,0,6772,94.97,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7142,72,1321,85.68930272,120.9096031,20,64,72,6818,84,172,1321,64,0,0,6826,95.58,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,7246,72,1321,86.23378416,122.3561845,24,64,72,6901,84,102,1321,66,1,0.01,6951,95.93,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7249,72,1321,85.35494551,119.5257087,30,64,72,7035,1321,64,84,41,1,0.01,7053,97.3,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,7113,72,1321,87.51834669,129.1863189,20,64,72,6796,84,75,1321,74,0,0,6825,95.95,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7238,72,1321,86.14921249,123.2199697,26,64,72,6978,1321,67,84,63,1,0.01,7004,96.77,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7223,72,1321,86.33919424,122.3454861,25,64,72,6877,84,111,100,69,0,0,6890,95.39,0,0,0,0,0,0,1,0.01
linux,chrome,streaming_twitch,7261,68,1321,85.02630492,118.9780498,16,64,72,7038,84,66,1321,64,0,0,7052,97.12,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7438,72,1321,86.95415434,127.2061775,20,64,72,7119,84,123,1321,75,4,0.05,7141,96.01,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7455,72,1321,84.70610329,117.4608556,18,64,72,7263,1321,64,254,32,0,0,7280,97.65,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7281,72,1321,86.27084192,122.8548296,25,64,72,6907,84,183,1321,67,1,0.01,6913,94.95,0,0,0,0,0,0,0,0
linux,chrome,streaming_twitch,7380,72,1321,85.22723577,118.1360418,21,64,72,7051,84,117,1321,63,0,0,7081,95.95,0,0,0,0,0,0,1,0.01
